Module,ASIC,Channel,Count,Gain,Offset,StraightFit,FullFit,Centre1,Centre2,Centre3,Centre4
0,0,0,540,0.64051,4402.48,3852690,223.077,432.95,1549.8,578.545,591.962
0,0,1,600,1.1562,3958.01,2619580,284.501,402.305,560.001,573.857,1748.35
0,0,2,780,1.08685,4181.46,3258780,328.554,306.686,455.588,1421.97,487.499
0,0,3,912,0.657049,4394.49,3846160,202.425,428.448,1530.07,577.802,586.18
0,0,4,1031,0.189135,4689.15,4013490,257.685,439.677,2998.2,580.055,597.779
0,0,5,1474,1.04565,4061.33,3277900,891.638,444.782,575.303,1585.35,631.094
0,0,6,1857,15.9104,-3960.4,38813.7,391.03,448.009,577.635,599.748,604.038
0,0,7,2293,14.993,-3509.49,72388.8,382.974,445.043,588.51,604.512,607.485
0,0,8,2796,15.5188,-3604.36,66168,380.708,435.999,574.838,589.216,593.866
0,0,9,3278,15.4146,-3714.02,85561.8,372.75,446.069,588.731,598.312,604.096
0,0,10,3885,15.3923,-3774.57,81024.5,582.31,450.643,592.71,603.878,608.953
0,0,11,4390,14.481,-1188.35,383022,3436.48,311.644,457.18,424.631,490.34
0,0,12,5123,0.330002,4590.93,3957420,524.922,447.284,2181.68,602.092,604.928
0,0,13,5599,15.7918,-3880.74,27109,578.42,446.747,573.755,599.918,605.585
0,0,14,6188,15.5221,-3639.81,74292.9,602.369,438.169,578.413,590.334,595.678
0,0,15,6819,15.5438,-3793.78,82549.3,729.675,447.501,588.181,599.401,604.057
0,0,16,7336,16.2926,-4059.09,14317.1,4376.81,443.496,569.896,588.025,599.944
0,0,17,7609,16.455,-4070.6,32024,824.521,439.494,568.837,581.106,592.996
0,0,18,8165,15.3443,-3454.18,67132.5,807.049,431.144,572.057,585.59,590.931
0,0,19,8794,4.64914,1728.31,1694010,123756,445.62,863.291,603.211,823.086
0,0,20,9180,14.382,-3244.53,217108,3571.78,447.057,608.619,603.27,608.319
0,0,21,9519,15.7736,-3943.58,51574.8,1049.7,450.84,582.438,604.595,606.635
0,0,22,9908,15.6733,-3955.93,43243.2,1210.52,454.145,589.299,605.821,612.749
0,0,23,10267,-0.418205,4990.54,4068520,336157,322.058,427.206,-470.41,516.339
0,0,24,10584,11.3095,-1606.84,703387,924.055,445.51,582.518,672.614,603.341
0,0,25,11137,15.449,-3684.26,33931.3,1011.66,443.676,575.662,600.214,604.966
0,0,26,11220,15.9399,-3918.21,189346,1044.99,446.559,576.297,604.127,587.744
0,0,27,11913,1.17054,4067.73,3690270,1117.76,448.081,1221.82,604.003,595.443
0,0,28,12328,15.4802,-3659.71,27845.9,1196.84,441.655,570.014,598.311,603.712
0,0,29,12691,15.7643,-3925.34,25691.7,1150.71,450.756,575.457,604.532,610.454
0,0,30,13239,-0.00120146,4715.45,3731140,1705.95,440.445,583.437,-640672,597.207
0,0,31,13727,15.311,-3484.42,84690.4,131652,434.335,574.491,591.763,591.781
0,0,32,14362,15.4082,-3782.19,64912.7,1226.58,450.634,590.866,604.317,610.025
0,0,33,14606,15.1587,-3521.9,38645,1170.16,440.939,580.289,597.523,605.53
0,0,34,14838,15.3826,-3651.79,45810.6,1334.18,443.004,580.382,598.214,604.081
0,0,35,15228,15.5634,-3668.14,55833.3,1633.32,438.827,576.444,591.451,597.311
0,0,36,15566,15.0669,-3507.58,33558.3,2184.98,442.711,582.217,600.184,608.916
0,0,37,15744,17.9203,-4884.65,96286.8,4024.33,449.119,571.655,581.224,583.693
0,0,38,15691,16.0266,-3802.18,81895.4,1830.22,434.977,573.835,572.396,592.574
0,0,39,15819,16.1875,-3934.53,53611.3,1703.74,438.578,573.599,576.979,595.725
0,0,40,15889,16.1194,-4030.02,76812.5,1603.01,446.597,584.207,583.27,603.733
0,0,41,16195,15.3004,-3437.08,44917.2,1676.27,431.57,567.596,589.218,593.125
0,0,42,16328,13.6848,-2173.39,86974.8,6042.83,397.854,523.493,551.118,597.215
0,0,43,16583,15.9993,-3977.52,48303.9,37594.2,446.494,582.425,586.073,606.336
0,0,44,16753,14.4742,-2997.53,1122720,1461.62,446.894,604.031,582.926,550.708
0,0,45,16978,16.1034,-4091.46,65646.6,1846.63,450.948,587.419,587.144,609.763
0,0,46,17117,15.7761,-3839.33,36305.9,3790.98,444.294,580.13,584.836,608.457
0,0,47,17656,9.59322,1032.91,10308.7,14055,222.713,434.957,468.496,489.349
0,0,48,18011,15.2161,-3512.32,43832.8,2274.32,438.937,575.37,597.579,601.485
0,0,49,17950,15.3063,-3637.01,125247,1797.12,445.812,592.666,582.598,611.837
0,0,50,18542,15.0541,-3229.51,36364.7,18638.5,425.153,560.417,586.156,590.313
0,0,51,18661,14.8874,-3462.79,26295.3,1814.41,445.418,588.075,596.061,619.386
0,0,52,19015,16.8991,-4379.31,226176,2139.12,447.748,582.341,586.789,581.271
0,0,53,19410,16.2671,-4163.54,32279.9,1826.28,450.796,582.03,587.534,610.136
0,0,54,19536,16.4121,-4044.54,21609.4,2084.91,439.636,567.949,575.893,598.315
0,0,55,19898,16.3233,-4053.77,61971.7,2172.71,444.438,571.788,571.794,607.898
0,0,56,20428,16.9395,-4199.29,103372,1866.95,441.945,537.641,570.032,600.783
0,0,57,20918,16.4294,-4052.29,104995,1873.44,440.855,574.957,567.212,598.352
0,0,59,21399,15.94,-3930.01,38171.7,2855090,445.366,580.173,584.627,607.505
0,0,60,21814,17.2592,-2698.06,111992,16641.7,340.642,460.378,484.499,477.124
0,0,61,22263,0.247295,4848.56,4152070,19811.4,305.75,-293.876,454.368,485.514
0,0,62,22474,16.8457,-4378.01,1160.48,2390.14,449.066,564.474,586.833,604.448
0,0,63,183605,16.3135,-2012.11,337454,24005.7,321.048,455.174,470.975,449.434
0,0,64,22612,15.8731,-3951.39,42382.8,2522.4,451.098,566.429,604.268,610.605
0,0,65,23396,16.6697,-4256.81,2976.13,2350.01,446.977,561.961,584.903,605.168
0,0,66,23464,0.147653,4681,3572080,5877.96,-1003.22,5950.44,581.507,604.747
